FID,doe_school_code,deewr_id,school_name,level_of_schooling,school_speciality_type,year_ranges,preschool_indicator,school_gender,teaching_staff,non_teaching_staff,total_enrolments,phone,school_email,fax,lga,electorate,federal_electorate,address,suburb,postcode,latitude,longitude,the_geom
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-65a1,1627,9530,Coolongolook Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,2,2,30,4997 7183,coolongolo-p.School@det.nsw.edu.au,4997 7232,Great Lakes (A),Myall Lakes,Lyne,Pacific Hwy,Coolongolook ,2423,-32.2228,152.3188,POINT (-32.22279739379883 152.31883239746094)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-65a0,1628,10428,Cooma Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,10,7,250,6452 1933,cooma-p.School@det.nsw.edu.au,6452 2980,Cooma-Monaro (A),Monaro,Eden-Monaro,Commissioner St,Cooma ,2630,-36.2375,149.125,POINT (-36.23747253417969 149.12503051757812)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-659f,1630,9392,Coonabarabran Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,15,8,305,6842 1771,coonabarab-p.School@det.nsw.edu.au,6842 2416,Warrumbungle Shire (A),Barwon,Parkes,Cnr John St & Newell Hwy,Coonabarabran ,2357,-31.28,149.2821,POINT (-31.280038833618164 149.2820587158203)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-659e,1631,11038,Coonamble Public School,Primary School,Comprehensive,Kinder to Year 6,Y,Coed,15,9,196,6822 1966,coonamble-p.School@det.nsw.edu.au,6822 1294,Coonamble (A),Barwon,Parkes,Bertram Street,Coonamble,2829,-30.9584,148.387,POINT (-30.958362579345703 148.38702392578125)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-659d,1632,9534,Coopernook Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,4,3,43,6556 3162,coopernook-p.School@det.nsw.edu.au,6556 3367,Greater Taree (C),Port Macquarie,Lyne,Macquarie St,Coopernook ,2426,-31.8275,152.6079,POINT (-31.827512741088867 152.60787963867188)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-659c,1634,9771,Coorabell Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,4,2,114,6684 7281,coorabell-p.School@det.nsw.edu.au,6684 7161,Byron (A),Ballina,Richmond,Mango Lane,Coorabell ,2479,-28.6257,153.4875,POINT (-28.625696182250977 153.48748779296875)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-659b,1635,8737,Cooranbong Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,11,4,145,4977 1122,cooranbong-p.School@det.nsw.edu.au,4977 2059,Lake Macquarie (C),Lake Macquarie,Hunter,Government Rd,Cooranbong ,2265,-33.0805,151.4418,POINT (-33.080501556396484 151.44178771972656)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-659a,1636,10291,Cootamundra Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,14,3,284,6942 1402,cootamundr-p.School@det.nsw.edu.au,6942 4187,Cootamundra (A),Cootamundra,Riverina,Cooper St,Cootamundra,2590,-34.6389,148.0268,POINT (-34.638912200927734 148.0268096923828)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6599,1642,9708,Copmanhurst Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,3,3,54,6647 3121,copmanhurs-p.School@det.nsw.edu.au,6647 3282,Clarence Valley (A),Clarence,Page,Prescott St,Copmanhurst ,2460,-29.5847,152.7755,POINT (-29.58466339111328 152.77554321289062)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6598,1644,9746,Coraki Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,8,3,85,6683 2073,coraki-p.School@det.nsw.edu.au,6683 2636,Richmond Valley (A),Clarence,Page,Adam St,Coraki ,2471,-28.9926,153.2826,POINT (-28.992589950561523 153.2826385498047)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6597,1647,9656,Coramba Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,4,2,39,6654 4227,coramba-p.School@det.nsw.edu.au,6654 4009,Coffs Harbour (C),Coffs Harbour,Page,6 Short St,Coramba ,2450,-30.2216,153.0115,POINT (-30.22157859802246 153.0115203857422)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6596,1654,9680,Corindi Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,10,4,198,6649 2734,corindi-p.School@det.nsw.edu.au,6649 2332,Coffs Harbour (C),Coffs Harbour,Page,Coral St,Corindi Beach ,2456,-30.0215,153.1942,POINT (-30.021469116210938 153.19422912597656)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6595,1656,9790,Corndale Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,1,3,21,6628 4305,corndale-p.School@det.nsw.edu.au,6628 4131,Lismore (C),Lismore,Page,Corndale Rd,Corndale ,2480,-28.7132,153.3625,POINT (-28.713150024414062 153.36248779296875)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6594,1658,10465,Corowa Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,14,4,274,6033 1606,corowa-p.School@det.nsw.edu.au,6033 4100,Corowa Shire (A),Albury,Farrer,244 Honour Avenue,Corowa ,2646,-35.9925,146.3949,POINT (-35.99254608154297 146.3948974609375)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6593,1659,10466,Corowa South Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,4,3,56,6033 1535,corowasth-p.School@det.nsw.edu.au,6033 4021,Corowa Shire (A),Albury,Farrer,158 Hume St,Corowa ,2646,-36.021,146.3762,POINT (-36.02098846435547 146.3761749267578)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6592,1661,9999,Corrimal Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,15,1,172,4284 4231,corrimal-p.School@det.nsw.edu.au,4284 1392,Wollongong (C),Keira,Cunningham,Princes Hwy,Corrimal,2518,-34.3674,150.899,POINT (-34.36737060546875 150.89901733398438)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6591,1666,9709,Coutts Crossing Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,4,3,73,6649 3225,couttscros-p.School@det.nsw.edu.au,6649 3051,Clarence Valley (A),Clarence,Page,Armidale Rd,Coutts Crossing ,2460,-29.8321,152.8895,POINT (-29.832063674926758 152.8894805908203)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6590,1668,8693,Cowan Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,5,3,53,9456 1065,cowan-p.School@det.nsw.edu.au,9456 3026,Hornsby (A),Hornsby,Berowra,Chandler Ave,Cowan ,2081,-33.5888,151.1688,POINT (-33.58880615234375 151.16883850097656)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-658f,1670,9710,Cowper Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,3,1,28,6647 6339,cowper-p.School@det.nsw.edu.au,6647 6409,Clarence Valley (A),Clarence,Page,Clarence & Samuel Sts,Cowper ,2460,-29.5696,153.0777,POINT (-29.56955909729004 153.07772827148438)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-658e,1671,10971,Cowra Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,21,7,336,6342 2400,cowra-p.School@det.nsw.edu.au,6341 1357,Cowra (A),Cootamundra,Riverina,Vaux St,Cowra ,2794,-33.836,148.6899,POINT (-33.836029052734375 148.68992614746094)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-658d,1674,9791,Crabbes Creek Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,2,4,36,6677 1255,crabbescrk-p.School@det.nsw.edu.au,6677 1698,Tweed (A),Tweed,Richmond,Crabbes Creek Rd,Crabbes Creek ,2483,-28.456,153.4966,POINT (-28.456003189086914 153.49658203125)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-658c,1681,9614,Crescent Head Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,10,4,180,6566 0255,crescenthd-p.School@det.nsw.edu.au,6566 0617,Kempsey (A),Oxley,Cowper,Pacific St,Crescent Head ,2440,-31.1881,152.9704,POINT (-31.18808937072754 152.97035217285156)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-658b,1682,8656,Cronulla Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,13,3,306,9523 5098,cronulla-p.School@det.nsw.edu.au,9523 0931,Sutherland Shire (A),Cronulla,Cook,18-24 Burraneer Bay Rd,Cronulla ,2230,-34.0541,151.1477,POINT (-34.0540771484375 151.14773559570312)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-658a,1684,10281,Crookwell Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,10,4,217,4832 1213,crookwell-p.School@det.nsw.edu.au,4832 1353,Upper Lachlan Shire (A),Goulburn,Hume,Denison St,Crookwell ,2583,-34.4599,149.4698,POINT (-34.459938049316406 149.4698028564453)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6589,1685,9631,Crossmaglen Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,2,2,11,6653 4295,crossmagle-p.School@det.nsw.edu.au,6653 4081,Coffs Harbour (C),Coffs Harbour,Cowper,384 Crossmaglen Rd,Crossmaglen,2450,-30.3659,152.9816,POINT (-30.36594581604004 152.98158264160156)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6588,1688,4959,Buronga Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,5,4,88,03 5023 2260,buronga-p.School@det.nsw.edu.au,03 5021 2316,Wentworth (A),Murray,Farrer,Chapman St,Buronga ,2739,-34.1695,142.1813,POINT (-34.169471740722656 142.1813201904297)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6587,1690,16195,Crystal Creek Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,3,4,69,6679 1223,crystalcrk-p.School@det.nsw.edu.au,6679 1539,Tweed (A),Lismore,Richmond,RMB 321 Numinbah Road,Crystal Creek,2484,-28.3121,153.326,POINT (-28.3121395111084 153.32595825195312)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6586,1695,11087,Cudal Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,3,2,60,6364 2101,cudal-p.School@det.nsw.edu.au,6364 2246,Cabonne (A),Orange,Calare,Toogong St,Cudal ,2864,-33.2871,148.7403,POINT (-33.2870979309082 148.7403106689453)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6585,1696,9925,Cudgen Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,11,5,186,6674 1287,cudgen-p.School@det.nsw.edu.au,6674 0924,Tweed (A),Tweed,Richmond,11 Collier Street,Cudgen ,2487,-28.2626,153.5554,POINT (-28.262592315673828 153.555419921875)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6584,1698,10514,Culcairn Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,5,6,108,6029 8385,culcairn-p.School@det.nsw.edu.au,6029 8807,Greater Hume Shire (A),Albury,Farrer,Balfour St,Culcairn ,2660,-35.6683,147.04,POINT (-35.66828536987305 147.0399932861328)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6583,1700,10961,Cullen Bullen Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,2,1,26,6359 0543,cullenbull-p.School@det.nsw.edu.au,6359 0547,Lithgow (C),Bathurst,Calare,15-23 Castlereagh Hwy,Cullen Bullen ,2790,-33.2999,150.0323,POINT (-33.29987716674805 150.03231811523438)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6582,1707,11091,Cumnock Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,4,2,53,6367 7207,cumnock-p.School@det.nsw.edu.au,6367 7404,Cabonne (A),Orange,Calare,Railway Pde,Cumnock,2867,-32.9313,148.7495,POINT (-32.931278228759766 148.74949645996094)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6581,1708,17412,Cundletown Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,13,1,293,6553 9911,cundletown-p.School@det.nsw.edu.au,6553 9055,Greater Taree (C),Myall Lakes,Lyne,High St,Cundletown ,2430,-31.8997,152.522,POINT (-31.89973258972168 152.52200317382812)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6580,1712,9484,Curlewis Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,3,1,38,6744 1239,curlewis-p.School@det.nsw.edu.au,6744 1213,Gunnedah (A),Tamworth,Parkes,Goran St,Curlewis ,2381,-31.1171,150.2633,POINT (-31.117149353027344 150.2633056640625)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-657f,1714,9361,Currabubula Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,1,1,34,6768 9010,currabubul-p.School@det.nsw.edu.au,6768 9014,Liverpool Plains (A),Tamworth,New England,Bolton St,Currabubula ,2342,-31.2628,150.7357,POINT (-31.262786865234375 150.73570251464844)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-657e,1722,10429,Dalgety Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,1,2,29,6456 5031,dalgety-p.School@det.nsw.edu.au,6456 5141,Snowy River (A),Monaro,Eden-Monaro,Cooma St,Dalgety,2628,-36.5027,148.8367,POINT (-36.50274658203125 148.836669921875)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-657d,1723,10274,Dalton Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,1,2,15,4845 6210,dalton-p.School@det.nsw.edu.au,4845 6203,Upper Lachlan Shire (A),Goulburn,Hume,Jobson St,Dalton ,2581,-34.7204,149.1788,POINT (-34.720367431640625 149.17881774902344)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-657c,1727,10036,Dapto Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,34,11,659,4261 2247,dapto-p.School@det.nsw.edu.au,4262 2038,Wollongong (C),Shellharbour,Whitlam,48-66 Sierra Drive,Horsley,2530,-34.4961,150.797,POINT (-34.49612808227539 150.7969512939453)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-657b,1732,10643,Dareton Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,6,6,66,03 5027 4586,dareton-p.School@det.nsw.edu.au,03 5027 4680,Wentworth (A),Murray,Farrer,Matong St,Dareton ,2717,-34.0911,142.0404,POINT (-34.091148376464844 142.0403594970703)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-657a,1735,5323,Darlington Public School,Primary School,Comprehensive,Kinder to Year 6,Y,Coed,16,4,238,9516 2300,darlington-p.School@det.nsw.edu.au,9550 4587,Sydney (C),Newtown,Sydney,Golden Grove St,Chippendale ,2008,-33.8926,151.1894,POINT (-33.89263916015625 151.18939208984375)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6579,1736,10619,Darlington Point Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,4,3,105,6968 4114,darlingtpt-p.School@det.nsw.edu.au,6968 4269,Murrumbidgee (A),Murray,Farrer,Hay Rd,Darlington Point ,2706,-34.5728,145.9939,POINT (-34.57280731201172 145.99388122558594)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6578,1740,9738,Leeville Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,3,2,50,6664 1280,leeville-p.School@det.nsw.edu.au,6664 1353,Richmond Valley (A),Clarence,Page,9375 Summerland Way,Leeville ,2470,-28.9308,153.0035,POINT (-28.930843353271484 153.0035400390625)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6577,1742,9423,Deepwater Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,0,2,13,6734 5395,deepwater-p.School@det.nsw.edu.au,6734 5407,Glen Innes Severn (A),Northern Tablelands,New England,Young St,Deepwater ,2371,-29.4429,151.8481,POINT (-29.442907333374023 151.84808349609375)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6576,1744,7703,Dee Why Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,20,7,270,9971 8635,deewhy-p.School@det.nsw.edu.au,9971 5516,Warringah (A),Wakehurst,Mackellar,Regent St,Dee Why ,2099,-33.749,151.2852,POINT (-33.7490234375 151.2852020263672)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6575,1745,10437,Delegate Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,2,2,30,6458 8183,delegate-p.School@det.nsw.edu.au,6458 8260,Bombala (A),Monaro,Eden-Monaro,Campbell St,Delegate ,2633,-37.0417,148.9372,POINT (-37.04174041748047 148.9372100830078)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6574,1747,9507,Delungra Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,3,2,33,6724 8407,delungra-p.School@det.nsw.edu.au,6724 8321,Inverell (A),Northern Tablelands,New England,Wallangra St,Delungra ,2403,-29.6509,150.831,POINT (-29.650936126708984 150.8309783935547)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6573,1749,9309,Denman Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,7,3,183,6547 2491,denman-p.School@det.nsw.edu.au,6547 2603,Muswellbrook (A),Upper Hunter,Hunter,Paxton St,Denman ,2328,-32.3857,150.686,POINT (-32.38573455810547 150.68600463867188)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6572,1760,10791,Doonside Public School,Primary School,Comprehensive,Kinder to Year 6,Y,Coed,9,8,208,9622 3575,doonside-p.School@det.nsw.edu.au,9831 8019,Blacktown (C),Blacktown,Chifley,Cnr Kildare Road and School Parade,Doonside,2767,-33.7646,150.8705,POINT (-33.764556884765625 150.87049865722656)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6571,1762,8734,Dora Creek Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,5,3,118,4973 1261,doracreek-p.school@det.nsw.edu.au,4970 5718,Lake Macquarie (C),Lake Macquarie,Hunter,Cooranbong Rd,Dora Creek ,2264,-33.079,151.4992,POINT (-33.07902145385742 151.4992218017578)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6570,1768,6925,Double Bay Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,16,4,368,9363 3456,doublebay-p.School@det.nsw.edu.au,9327 8901,Woollahra (A),Vaucluse,Wentworth,William St,Double Bay ,2028,-33.8749,151.2409,POINT (-33.874855041503906 151.2408905029297)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-656f,1769,9735,Doubtful Creek Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,1,2,12,6667 1102,doubtfulcreek-p.School@det.nsw.edu.au,6667 1139,Kyogle (A),Lismore,Page,2436 Sextonville Rd,Doubtful Creek,2470,-28.7248,152.876,POINT (-28.72477149963379 152.87596130371094)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-656e,1770,10218,Douglas Park Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,8,4,145,4632 7261,douglaspk-p.School@det.nsw.edu.au,4632 7440,Wollondilly (A),Wollondilly,Hume,111 Camden Rd,Douglas Park ,2569,-34.1795,150.713,POINT (-34.17948532104492 150.71304321289062)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-656d,1771,9736,Drake Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,2,2,28,6737 6677,drake-p.School@det.nsw.edu.au,6737 6725,Tenterfield (A),Lismore,New England,Allison Street,Drake,2469,-28.9288,152.3741,POINT (-28.92879867553711 152.3740997314453)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-656c,1774,7603,Drummoyne Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,32,6,695,9181 2636,drummoyne-p.School@det.nsw.edu.au,9719 8741,Canada Bay (A),Drummoyne,Reid,Rawson Ave,Drummoyne ,2047,-33.8561,151.153,POINT (-33.85607147216797 151.1530303955078)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-656b,1775,11041,Dubbo Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,39,10,500,6882 2399,dubbo-p.School@det.nsw.edu.au,6884 3308,Dubbo (C),Dubbo,Parkes,181 Darling St,Dubbo ,2830,-32.2487,148.6054,POINT (-32.248748779296875 148.60540771484375)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-656a,1776,11040,Dubbo North Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,16,8,228,6882 4689,dubbonorth-p.School@det.nsw.edu.au,6884 3442,Dubbo (C),Dubbo,Parkes,Fitzroy St,Dubbo ,2830,-32.2417,148.6158,POINT (-32.24168014526367 148.6157684326172)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6569,1778,4645,Dudley Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,13,3,266,4944 7203,dudley-p.school@det.nsw.edu.au,4942 6097,Lake Macquarie (C),Charlestown,Shortland,Ocean & Boundary Sts,Dudley ,2290,-32.9894,151.7168,POINT (-32.98938751220703 151.71681213378906)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6568,1780,9816,Lismore Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,24,11,352,6621 5366,lismore-p.School@det.nsw.edu.au,6622 1801,Lismore (C),Lismore,Page,Pound St,Lismore ,2480,-28.8143,153.2909,POINT (-28.814289093017578 153.2908935546875)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6567,1788,9673,Dundurrabin Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,2,2,19,6657 8133,dundurrabi-p.School@det.nsw.edu.au,6657 8051,Clarence Valley (A),Clarence,Page,70 Mount St,Dundurrabin,2453,-30.1895,152.5426,POINT (-30.18949317932129 152.5426483154297)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6566,1789,11067,Dunedoo Central School,Central/Community School,Comprehensive,Kinder to Year 12,N,Coed,19,7,213,6375 1489,dunedoo-c.School@det.nsw.edu.au,6375 1152,Warrumbungle Shire (A),Barwon,Parkes,Digilah St,Dunedoo ,2844,-32.0183,149.3922,POINT (-32.018306732177734 149.3922119140625)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6565,1792,9519,Dungog Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,14,4,265,4992 1384,dungog-p.School@det.nsw.edu.au,4992 3150,Dungog (A),Upper Hunter,Lyne,9 Chapman St,Dungog ,2420,-32.4052,151.7577,POINT (-32.40523147583008 151.75770568847656)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6564,1793,9345,Dungowan Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,3,2,31,6769 4259,dungowan-p.School@det.nsw.edu.au,6769 4342,Tamworth Regional (A),Tamworth,New England,137 Olgunbil Road,Dungowan,2340,-31.2201,151.1327,POINT (-31.220125198364258 151.1326904296875)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6563,1797,9795,Dunoon Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,4,3,69,6689 5208,dunoon-p.School@det.nsw.edu.au,6689 5350,Lismore (C),Lismore,Page,James St,Dunoon ,2480,-28.6867,153.3155,POINT (-28.686735153198242 153.31549072265625)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6562,1799,8135,Dural Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,21,3,428,9651 1164,dural-p.School@det.nsw.edu.au,9651 4172,The Hills Shire (A),Castle Hill,Berowra,622 Old Northern Rd,Dural ,2158,-33.6861,151.0264,POINT (-33.686058044433594 151.02639770507812)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6561,1801,9926,Duranbah Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,3,2,26,6677 7221,duranbah-p.School@det.nsw.edu.au,6677 7547,Tweed (A),Tweed,Richmond,105 Duranbah Rd,Duranbah ,2487,-28.2891,153.5169,POINT (-28.289121627807617 153.5168914794922)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6560,1802,9368,Duri Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,2,2,40,6768 0214,duri-p.School@det.nsw.edu.au,6768 0209,Tamworth Regional (A),Tamworth,New England,Dungowan Rd,Duri ,2344,-31.2214,150.8299,POINT (-31.221359252929688 150.82994079589844)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-655f,1803,9904,Durrumbul Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,3,1,31,6684 5229,durrumbul-p.School@det.nsw.edu.au,6684 5535,Byron (A),Ballina,Richmond,Durrumbul Rd,Durrumbul ,2482,-28.5233,153.4446,POINT (-28.523263931274414 153.444580078125)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-655e,1807,8589,Earlwood Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,37,5,662,9789 5066,earlwood-p.School@det.nsw.edu.au,9789 3479,Canterbury (C),Canterbury,Barton,Homer St,Earlwood ,2206,-33.929,151.1224,POINT (-33.92898178100586 151.12237548828125)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-655d,1808,10788,Eastern Creek Public School,Primary School,Comprehensive,Kinder to Year 6,Y,Coed,15,5,273,9625 8112,easterncrk-p.School@det.nsw.edu.au,9832 2412,Blacktown (C),Mount Druitt,Chifley,200 Rooty Hill Road South,Eastern Creek,2766,-33.787,150.8526,POINT (-33.78701400756836 150.85263061523438)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-655c,1809,8619,Panania Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,27,5,451,9773 9017,panania-p.school@det.nsw.edu.au,9792 3907,Bankstown (C),East Hills,Banks,21 Lawler Street,Panania,2213,-33.966,150.9995,POINT (-33.965972900390625 150.9994659423828)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-655b,1811,11043,Dubbo South Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,33,11,698,6882 2529,dubbosouth-p.School@det.nsw.edu.au,6882 4196,Dubbo (C),Dubbo,Parkes,Fitzroy St,Dubbo ,2830,-32.2631,148.6098,POINT (-32.263126373291016 148.60975646972656)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-655a,1813,10740,Ebenezer Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,6,3,108,4579 9282,ebenezer-p.School@det.nsw.edu.au,4579 9586,Hawkesbury (C),Hawkesbury,Macquarie,531 Sackville Rd,Ebenezer ,2756,-33.5309,150.8768,POINT (-33.53091812133789 150.87677001953125)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6559,1814,9674,Ebor Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,1,0,8,6775 9136,ebor-p.School@det.nsw.edu.au,6775 9182,Armidale Dumaresq (A),Northern Tablelands,New England,Ebor St,Ebor ,2453,-30.4033,152.3499,POINT (-30.40329360961914 152.34988403320312)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6558,1816,10194,Eden Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,16,7,271,6496 1169,eden-p.School@det.nsw.edu.au,6496 1383,Bega Valley (A),Bega,Eden-Monaro,Imlay St,Eden ,2551,-37.0633,149.9067,POINT (-37.063270568847656 149.9066925048828)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6557,1822,9283,Congewai Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,3,3,8,4998 1366,congewai-p.School@det.nsw.edu.au,4998 1603,Cessnock (C),Cessnock,Hunter,605 Congewai Road,Congewai,2325,-32.9587,151.2739,POINT (-32.958736419677734 151.2738800048828)
